4.511124,4.511124,4.511124,4.511124,4.009888,4.009888,4.009888,4.009888,4.511124,4.009888,4.511124,4.511124
5.01236,4.511124,4.511124,4.009888,4.009888,4.009888,4.009888,4.009888,4.009888,4.009888,4.009888,4.511124
4.009888,4.009888,4.009888,4.009888,4.009888,4.009888,4.009888,4.009888,4.009888,4.009888,4.511124,4.511124
5.01236,4.511124,4.009888,4.009888,4.009888,3.508652,4.009888,4.009888,3.508652,4.009888,4.009888,4.009888
3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,4.009888,4.009888,4.511124
5.513596,4.511124,4.009888,4.009888,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652
3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,4.009888,4.511124
6.014832,4.511124,4.009888,3.508652,3.508652,3.508652,3.007416,3.007416,3.508652,3.007416,3.007416,3.508652
3.508652,3.007416,3.007416,3.007416,3.007416,3.007416,3.007416,3.007416,3.508652,3.508652,4.009888,4.511124
6.516068,5.01236,4.009888,3.508652,3.508652,3.508652,3.007416,3.007416,3.007416,3.007416,3.007416,3.007416
3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,4.009888,4.009888,5.01236
7.017304,5.513596,4.511124,4.009888,4.009888,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652,3.508652
